ID,Stock number,Artist,Title,Year,Dimensions,Main image URL (medium),Retail Price,Image,New Price
215,250,Patricia Qualls,Lovingly Tending to the Future,2020,"40 x 24 in
101.6 x 61 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/a25305680b4135082876d41d1ef37e4ej.jpg,4000,,4999
214,249,Patricia Qualls,Sacred Light,2020,"48 x 72 in
121.9 x 182.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/f5acc93560f20679b073e56eed676d39j.jpg,11000,,13999
213,,Patricia Qualls,Tending to the Future,2020,"48 x 72 in
121.9 x 182.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/2d754a73b8943c6abebcd4d6e80614ecj.jpg,12000,,14999
210,248,Patricia Qualls,Good Rises,2020,"48 x 72 in
121.9 x 182.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/5943ed9aa0697d10ab15da5765801c0dj.jpg,12000,,14999
208,246,Patricia Qualls,Earth's Gems,2018,"96 x 8 x 3 in
243.8 x 20.3 x 7.6 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/9a170f9991ba143f15a708407eccc9afj.jpg,4500,,5999
207,245,Patricia Qualls,Reading Between the Lines,2008,"60 x 48 in
152.4 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/cf36c856681c14e0e87805c15d917dc5j.jpg,9000,,10999
206,244,Patricia Qualls,Freedom Series: New Beginnings,2009,"120 x 43 in
304.8 x 109.2 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/3aab67c89cc0e24015feb2227aaecad7p.png,19000,,22999
205,243,Patricia Qualls,Heaven Sent (Giclee),2018,"48 x 72 in
121.9 x 182.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/32068b1a91461fd3cc5565bbf34e01b5j.jpg,18000,,21999
204,242,Patricia Qualls,Weavings of Healing Light,2020,"72 x 48 in
182.9 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/6b0bf287cf330bc416007ce9ac635b33j.jpg,9500,,11999
203,241,Patricia Qualls,Social Distance Love,2020,"60 x 60 in
152.4 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/41a26cfa0c9a1b56a1390a95fccfb9f6j.jpg,9500,,11999
202,240,Patricia Qualls,Going Deep,,"48 x 24 in
121.9 x 61 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/7704a4af32c42b866e25a5f99d7721e7j.jpg,4900,,5999
201,239,Patricia Qualls,Reflections,2020,"24 x 18 in
61 x 45.7 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/7e35a4ca409832c4b05f52211baa4310j.jpg,3900,,4999
200,238,Patricia Qualls,The Heart Sings When Heaven Speaks,2020,"60 x 36 in
152.4 x 91.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/b3d3a1cb371c72a373d071a953669accj.jpg,8500,,9999
193,236,Patricia Qualls,Presence Series,,72 x 48 in,https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/adaece8d963d00e26ceca4228a891546j.jpg,11500,,14999
192,235,Patricia Qualls,Energy of Healing,2020,"48 x 60 in
121.9 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/b58b5170f513663f246a4f1c09acea81j.jpg,9500,,11999
191,234,Patricia Qualls,The Places We Grow,2020,"30 x 70 in
76.2 x 177.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/0d9362ad5e2b33a376c61619af1a1360j.jpg,7900,,9999
190,233,Patricia Qualls,Finding True North,2020,"72 x 108 in
182.9 x 274.3 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/c95701d0f07c0de4d5ff521b00118c9ej.jpg,18500,,24999
189,232,Patricia Qualls,Transforming Energy,2020,"30 x 36 in
76.2 x 91.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/b4b9fc0fc8465a593aa91c3b1248c41cj.jpg,5000,,5999
188,231,Patricia Qualls,As Nature Heals,2020,"24 x 40 in
61 x 101.6 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/0b36c70b484e6085bf394fd7711ac2baj.jpg,4500,,5999
187,230,Patricia Qualls,California Love & Light,2019,"48 x 48 in
121.9 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/aaf146416fd5ea2cf769c763342fd419j.jpg,8500,,9999
186,229,Patricia Qualls,Carmel Point Love,2020,"48 x 48 in
121.9 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/74315334f697acd274c7da19696f0ef1j.jpg,5000,,5999
183,227,Patricia Qualls,California Dream II,2020,"48 x 72 in
121.9 x 182.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/85a35748223862470de7348b55855e73j.jpg,12500,,14999
181,226,Patricia Qualls,Emerging Love,2020,"40 x 30 in
101.6 x 76.2 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/880259fef9cf4a0b7f86884c97d7e02aj.jpg,4000,,4999
180,225,Patricia Qualls,Seascape Commission,2020,"48 x 48 in
121.9 x 121.9 cm",,5000,,5999
179,224,Patricia Qualls,Seascape,2019,"8 x 60 in
20.3 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/75f457db36e323017601e5314f21ed6fj.jpg,1000,,1199
178,223,Patricia Qualls,California Coast,,"30 x 70 in
76.2 x 177.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/38d66517f838809f9a016e296e5c3084j.jpg,6800,,8999
176,221,Patricia Qualls,Valley of Tranquility,2020,"48 x 36 in
121.9 x 91.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/edb626f3371410a1c42ad06341b61f99j.jpg,5900,,6999
175,220,Patricia Qualls,Change is in the Air,2020,"47 x 69 in
119.4 x 175.3 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/3c0b7aa5aaad7472d3a661bdd7787d44j.jpg,9500,,12999
174,219,Patricia Qualls,Carmel Light,2019,48 x 60 in,https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/2c3565c250730b2910cd478f0026c5f6j.jpg,9500,,11999
173,218,Patricia Qualls,Healing Presence,2020,"60 x 60 in
152.4 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/5500cc8561c23d778c01847182d8bb19j.jpg,11000,,13999
172,217,Patricia Qualls,Weaving Together,2019,"96 x 60 x 2 1/2 in
243.8 x 152.4 x 6.3 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/d054b3e36cb2f2c418e7d56be8805234j.jpg,17500,,20999
171,216,Patricia Qualls,Carmel Seascape,2020,"40 x 40 in
101.6 x 101.6 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/8da61de344ea7356b5b87384d9185927j.jpg,5000,,5999
170,215,Patricia Qualls,Seascape,2020,"40 x 40 in
101.6 x 101.6 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/949b72d02066e1e0b6044786903ce288j.jpg,5000,,5999
169,,,Seascape,2019,"48 x 36 x 2 1/2 in
121.9 x 91.4 x 6.3 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/aadc01113c79c42faa218ccf94b5d5a5j.jpg,5500,,6999
168,214,Patricia Qualls,Loving Witness III,2020,"36 x 60 x 1 1/2 in
91.4 x 152.4 x 3.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/0ba25d59740762b00e60675c2953f3c7j.jpg,8500,,10999
167,213,Patricia Qualls,7 Dimensions of Heaven,2020,"36 x 60 x 1 1/2 in
91.4 x 152.4 x 3.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/2aff2e1ae07f6565f7988388235eace9j.jpg,9500,,10999
166,212,Patricia Qualls,More Shall be Revealed,2020,"28 x 22 in
71.1 x 55.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/a31ccb4c79b396d1a55e0b895db8e870j.jpg,3500,,4999
165,211,Patricia Qualls,Loving Witness IV,2020,"48 x 60 x 2 1/2 in
121.9 x 152.4 x 6.3 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/8775efd0cb8b1a1dcf08c5d87f46bb73j.jpg,11000,,13999
164,210,Patricia Qualls,Open Mind Open Heart,2020,"24 x 40 x 1 1/2 in
61 x 101.6 x 3.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/2897c69cb5de79300157ece6a5d6a55bj.jpg,6000,,6999
163,209,Patricia Qualls,Weaving Light,2020,"24 x 48 x 1 1/2 in
61 x 121.9 x 3.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/8032ad804eb3dce51f9aaa080918ecadj.jpg,4500,,5999
162,208,Patricia Qualls,Genius Series,2015,"40 x 30 x 1 1/2 in
101.6 x 76.2 x 3.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/9cb54bab23e0fef865f90906c1881332j.jpg,5500,,6999
161,207,Patricia Qualls,Spring Freedom,2018,"36 x 36 x 2 1/2 in
91.4 x 91.4 x 6.3 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/322ed38b79ea7dcdf431a6e2af93534aj.jpg,5000,,5999
160,206,Patricia Qualls,Windows,2009,"36 x 24 x 2 1/2 in
91.4 x 61 x 6.3 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/9f19fb948da5daa9becaa138cd1abbabj.jpg,4500,,5999
159,205,Patricia Qualls,Clarity,2007,"60 x 60 x 2 1/2 in
152.4 x 152.4 x 6.3 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/3e4cce794faffcad136c39aa0b9ca366j.jpg,11500,,13999
158,204,Patricia Qualls,Bursting with Freedom,2010,"45 x 68 x 2 1/2 in
114.3 x 172.7 x 6.3 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/a45f0d25ee960b95d71fb7b2ab43d94dj.jpg,14000,,16999
157,203,Patricia Qualls,Energy of Life Presence,2017,"72 x 96 in
182.9 x 243.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/dc4e60128bec9c32fbadf5c40ae67a85j.jpg,19000,,24999
156,202,Patricia Qualls,Jerusalem,2009,"48 x 24 in
121.9 x 61 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/7a98e60f84f59d38e9c28d602b828acbj.jpg,4900,,5999
155,201,Patricia Qualls,Where We Grow ,2017,"36 x 48 in
91.4 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/607396385f2868ad6c53d57b719f6ce2j.jpg,6400,,7999
154,200,Patricia Qualls,Love Heals Series,2019,"80 x 60 in
203.2 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/9d155eb9f9154ddf5ec2d400bb427326j.jpg,14000,,16999
152,198,Patricia Qualls,Point Lobos,2018,"60 x 36 x 2 1/4 in
152.4 x 91.4 x 5.7 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/8499442af96e6d4a67bf59fc1b4f409ep.png,7200,,8999
149,196,Patricia Qualls,Healing Passages,2020,"30 x 70 x 2 in
76.2 x 177.8 x 5.1 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/dd612e6e9b6698dda7a9bb3f50c340c9j.jpg,8000,,9999
148,192,Patricia Qualls,Love's Arising,2020,"72 x 48 in
182.9 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/f3cdff6bfba5efa1e57df53ad4440a0fj.jpg,12500,,14999
147,191,Patricia Qualls,Carmel Lagoon,2020,"40 x 60 in
101.6 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/284c75758215934ff792ff6311b7ff9dj.jpg,7500,,9999
146,190,Patricia Qualls,Where the River Meets the Sea,2020,"40 x 60 in
101.6 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/a126fc3248135589fdfaa36289e90aeaj.jpg,7500,,9999
145,189,Patricia Qualls,Flow of Freedom,2020,"48 x 36 in
121.9 x 91.4 cm",,8000,,9999
1,10,Patricia Qualls,Blessings to the Children,2018,"70 x 104 in
177.8 x 264.2 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/7047c4c4d409aceaaadead49b6cf4982j.jpg,26000,,34999
81,188,Patricia Qualls,Freedom Green,2020,"60 x 48 in
152.4 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/6cf82a38c7b968733587817c8233da99j.jpg,10000,,11999
